Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Mine production, recoverable copper content",1230,1100,,50000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Australia,"Mine production, recoverable copper content",819,810,,100000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 27 million tons. World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Mine production, recoverable copper content",520,480,,7600,
MCS2024,Chile,"Mine production, recoverable copper content",5330,5000,,190000,
MCS2024,China,"Mine production, recoverable copper content",1940,1700,,41000,
MCS2024,Congo (Kinshasa),"Mine production, recoverable copper content",2350,2500,,80000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Germany,"Mine production, recoverable copper content",0,0,,0,
MCS2024,Indonesia,"Mine production, recoverable copper content",941,840,,24000,
MCS2024,Japan,"Mine production, recoverable copper content",0,0,,0,
MCS2024,Kazakhstan,"Mine production, recoverable copper content",593,600,,20000,
MCS2024,"Korea, Republic of","Mine production, recoverable copper content",0,0,,0,
MCS2024,Mexico,"Mine production, recoverable copper content",754,750,,53000,
MCS2024,Peru,"Mine production, recoverable copper content",2450,2600,,120000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Poland,"Mine production, recoverable copper content",393,400,,34000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Russia,"Mine production, recoverable copper content",936,910,Also estimated in 2022,80000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Zambia,"Mine production, recoverable copper content",797,760,,21000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Mine production, recoverable copper content",2850,3100,,180000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Mine production, recoverable copper content",21900,22000,,1000000,
