"Category";"Annual Mean"
1950;7,75
1951;8,12
1952;8,41
1953;8,19
1954;7,51
1955;7,61
1956;7,93
1957;8,36
1958;8,6
1959;8,3
1960;8,77
1961;8,67
1962;8,86
1963;8,49
1964;8,4
1965;8,35
1966;8,29
1967;8,21
1968;8,65
1969;8,56
1970;8,38
1971;7,95
1972;8,4
1973;8,35
1974;8,15
1975;8,11
1976;8
1977;8,88
1978;8,96
1979;8,99
1980;8,72
1981;8,76
1982;8,86
1983;8,89
1984;8,2
1985;8,75
1986;8,48
1987;8,86
1988;8,63
1989;8,7
1990;8,67
1991;8,49
1992;8,34
1993;8,79
1994;9,06
1995;8,84
1996;8,74
1997;9,03
1998;9,48
1999;8,9
2000;8,42
2001;8,73
2002;8,53
2003;9,19
2004;9,26
2005;8,79
2006;9,21
2007;8,46
2008;9,03
2009;8,89
2010;8,62
2011;8,83
2012;9,09
2013;9,15
2014;8,97
2015;9,35
2016;9,66
2017;9,16
2018;9,08
2019;9,43
2020;9,43
2021;9,37
2022;8,72
2023;9,49
