"Category";"Annual Mean"
1950;1599,28
1951;1620,59
1952;1308,84
1953;1626,74
1954;1660,37
1955;1402,01
1956;1435,17
1957;1449,72
1958;1453,36
1959;1449,99
1960;1330,97
1961;1560,66
1962;1190,1
1963;1453,56
1964;1289,65
1965;1578,89
1966;1291,67
1967;1389,65
1968;1352,13
1969;1461,37
1970;1437,91
1971;1504,67
1972;1482,13
1973;1350,55
1974;1453,93
1975;1691,51
1976;1365,33
1977;1533,93
1978;1350,63
1979;1534,32
1980;1747,47
1981;1575,46
1982;1591,16
1983;1495,68
1984;1557,25
1985;1553,71
1986;1694,85
1987;1572,63
1988;1358,5
1989;1516,38
1990;1568,23
1991;1528,4
1992;1483,9
1993;1575,71
1994;1534,26
1995;1423,84
1996;1473,11
1997;1627,1
1998;1349,23
1999;1336,33
2000;1480,91
2001;1584,86
2002;1625,55
2003;1563,38
2004;1508,04
2005;1510,86
2006;1681,63
2007;1386,75
2008;1480,04
2009;1655,72
2010;1516,26
2011;1494,45
2012;1598,44
2013;1476,68
2014;1578,87
2015;1554,18
2016;1183,06
2017;1729,22
2018;1557,24
2019;1451,85
2020;1486,43
2021;1297,33
2022;1414,47
2023;1555,91
