"Year","Annual Precipitation","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,1599.28,,,
1951,1620.59,1451.1404869215303,,
1952,1308.84,1452.423358936227,,
1953,1626.74,1453.706230950924,,
1954,1660.37,1454.9891029656208,,
1955,1402.01,1456.2719749803177,,
1956,1435.17,1457.5548469950145,,
1957,1449.72,1458.8377190097115,,
1958,1453.36,1460.1205910244082,,
1959,1449.99,1461.403463039105,,
1960,1330.97,1462.686335053802,,
1961,1560.66,1463.9692070684987,,
1962,1190.1,1465.2520790831957,,
1963,1453.56,1466.5349510978924,,
1964,1289.65,1467.8178231125894,,
1965,1578.89,1469.1006951272861,,
1966,1291.67,1470.383567141983,,
1967,1389.65,1471.6664391566799,,
1968,1352.13,1472.9493111713766,,
1969,1461.37,1474.2321831860736,,
1970,1437.91,1475.5150552007703,,
1971,1504.67,1476.7979272154673,1516.4526352941186,
1972,1482.13,1478.080799230164,1516.5440542617057,
1973,1350.55,1479.3636712448608,1516.6354732292928,
1974,1453.93,1480.6465432595578,1516.7268921968796,
1975,1691.51,1481.9294152742546,1516.8183111644666,
1976,1365.33,1483.2122872889515,1516.9097301320537,
1977,1533.93,1484.4951593036483,1517.0011490996408,
1978,1350.63,1485.7780313183453,1517.0925680672276,
1979,1534.32,1487.060903333042,1517.1839870348147,
1980,1747.47,1488.3437753477388,1517.2754060024017,
1981,1575.46,1489.6266473624357,1517.3668249699888,
1982,1591.16,1490.9095193771325,1517.4582439375756,
1983,1495.68,1492.1923913918295,1517.5496629051627,
1984,1557.25,1493.4752634065262,1517.6410818727497,
1985,1553.71,1494.7581354212232,1517.7325008403368,
1986,1694.85,1496.04100743592,1517.8239198079236,
1987,1572.63,1497.3238794506167,1517.9153387755107,
1988,1358.5,1498.6067514653137,1518.0067577430978,
1989,1516.38,1499.8896234800104,1518.0981767106848,
1990,1568.23,1501.1724954947074,1518.1895956782716,
1991,1528.4,1502.4553675094041,1518.2810146458587,1507.9110752688173
1992,1483.9,1503.7382395241011,1518.3724336134458,1508.3684723767149
1993,1575.71,1505.0211115387979,1518.4638525810328,1508.8258694846127
1994,1534.26,1506.3039835534946,1518.5552715486199,1509.2832665925102
1995,1423.84,1507.5868555681916,1518.6466905162067,1509.740663700408
1996,1473.11,1508.8697275828883,1518.7381094837938,1510.1980608083056
1997,1627.1,1510.1525995975853,1518.8295284513808,1510.6554579162032
1998,1349.23,1511.435471612282,1518.920947418968,1511.112855024101
1999,1336.33,1512.718343626979,1519.0123663865547,1511.5702521319986
2000,1480.91,1514.0012156416758,1519.1037853541418,1512.0276492398962
2001,1584.86,1515.2840876563725,1519.1952043217289,1512.485046347794
2002,1625.55,1516.5669596710695,1519.286623289316,1512.9424434556915
2003,1563.38,1517.8498316857663,1519.3780422569027,1513.3998405635894
2004,1508.04,1519.1327037004633,1519.4694612244898,1513.857237671487
2005,1510.86,1520.41557571516,1519.5608801920769,1514.3146347793845
2006,1681.63,1521.698447729857,1519.652299159664,1514.7720318872823
2007,1386.75,1522.9813197445537,1519.7437181272508,1515.22942899518
2008,1480.04,1524.2641917592505,1519.8351370948378,1515.6868261030775
2009,1655.72,1525.5470637739475,1519.9265560624249,1516.1442232109753
2010,1516.26,1526.8299357886442,1520.017975030012,1516.6016203188728
2011,1494.45,1528.1128078033412,1520.1093939975988,1517.0590174267707
2012,1598.44,1529.395679818038,1520.2008129651858,1517.5164145346682
2013,1476.68,1530.6785518327347,1520.292231932773,1517.9738116425658
2014,1578.87,1531.9614238474317,1520.38365090036,1518.4312087504636
2015,1554.18,1533.2442958621284,1520.475069867947,1518.8886058583612
2016,1183.06,1534.5271678768254,1520.5664888355338,1519.346002966259
2017,1729.22,1535.8100398915221,1520.657907803121,1519.8034000741566
2018,1557.24,1537.0929119062191,1520.749326770708,1520.2607971820541
2019,1451.85,1538.3757839209159,1520.840745738295,1520.718194289952
2020,1486.43,1539.6586559356128,1520.9321647058819,1521.1755913978495
2021,1297.33,,,
2022,1414.47,,,
2023,1555.91,,,
